auction_date_transformed,auction_id,bstock_category_name,bid_date,bid_id,bidder_id,bid_amount_transformed,bstock_condition_name,winning_bid_usd,retail_price,profit
2022-09-10,1500000,"Apparel, Footwear & Accessories","2022-09-10 17:22:59.000000 UTC",16819428,1,1100,NULL,NULL,NULL,NULL
2022-09-13,1640483,"Apparel, Footwear & Accessories","2022-09-13 17:33:16.000000 UTC",17819741,62e329abff03c2000d83079d,3000,"Brand New",2925,23195,20270
2022-09-13,1640484,"Apparel, Footwear & Accessories","2022-09-13 16:12:53.000000 UTC",17817684,62e329abff03c2000d83079d,207,"Brand New",155,28526,28371
2022-09-13,1640485,Furniture,"2022-09-13 15:48:56.000000 UTC",17817438,62e329abff03c2000d83079d,2521,"Like New",2521,40122,37601
2022-09-13,1640486,"Consumer Electronics","2022-09-13 16:59:30.000000 UTC",17818639,62e329abff03c2000d83079d,2667,"Brand New",1900,46405,44505
2022-09-13,1640487,"Consumer Electronics","2022-09-13 15:49:20.000000 UTC",17817440,62e329abff03c2000d83079d,622,"Brand New",575,26573,25998
2022-09-13,1640488,"Consumer Electronics","2022-09-13 16:13:21.000000 UTC",17817690,62e329abff03c2000d83079d,922,"Like New",857,22954,22097
2022-09-16,1646151,"Consumer Electronics","2022-09-16 13:17:04.000000 UTC",17857052,5c9150efe3d4600e81e037d8,2000,"Like New",2000,8586,6586
2022-09-16,1646151,"Consumer Electronics","2022-09-16 16:50:35.000000 UTC",17858378,54c36026421aa90e9061f860,2000,"Like New",2000,8586,6586
2022-09-16,1646152,"Apparel, Footwear & Accessories","2022-09-16 15:12:45.000000 UTC",17857800,62e329abff03c2000d83079d,1222,"Like New",1222,27780,26558
2022-09-23,1651870,"Apparel, Footwear & Accessories","2022-09-23 17:17:24.000000 UTC",17919124,6266f403ff03c2000cc91fed,1500,"Like New",1469,16908,15439
2022-09-23,1651871,"Apparel, Footwear & Accessories","2022-09-23 17:25:48.000000 UTC",17919404,60130b4ac8ce886da943b405,2800,"Like New",2469,18780,16311
2022-09-23,1651872,"Apparel, Footwear & Accessories","2022-09-23 17:04:58.000000 UTC",17918681,62e329abff03c2000d83079d,1555,"Like New",1525,20794,19269
2022-09-23,1651873,"Apparel, Footwear & Accessories","2022-09-23 16:50:29.000000 UTC",17918191,62e329abff03c2000d83079d,1111,"Like New",1111,31842,30731
2022-09-30,1657992,"Apparel, Footwear & Accessories","2022-09-30 17:16:12.000000 UTC",17984342,62e329abff03c2000d83079d,1444,"Like New",1180,12374,11194
2022-09-30,1657993,"Apparel, Footwear & Accessories","2022-09-30 14:22:46.000000 UTC",17983399,62e329abff03c2000d83079d,777,"Like New",625,26628,26003
2022-09-30,1657994,"Apparel, Footwear & Accessories","2022-09-30 16:16:20.000000 UTC",17984005,572cfa67421aa90c80a34448,815,"Like New",802,24048,23246
2022-09-30,1657995,"Apparel, Footwear & Accessories","2022-09-30 17:06:15.000000 UTC",17984287,62e329abff03c2000d83079d,1111,"Like New",925,22944,22019
2022-10-07,1662632,"Apparel, Footwear & Accessories","2022-10-07 17:11:34.000000 UTC",18048032,5e9bf479c8ce886c85a237b9,2000,"Like New",1900,20618,18718
2022-10-07,1662633,"Apparel, Footwear & Accessories","2022-10-07 17:33:01.000000 UTC",18048307,5e9bf479c8ce886c85a237b9,2600,"Like New",2525,15232,12707
2022-10-07,1662634,"Apparel, Footwear & Accessories","2022-10-07 17:07:08.000000 UTC",18047959,62e329abff03c2000d83079d,2888,"Like New",2825,21216,18391
2022-11-01,1682364,"Apparel, Footwear & Accessories","2022-11-01 17:50:35.000000 UTC",18272685,6359b3f4feb3d7000ca36001,4236,"Brand New",4236,17994,13758
2022-11-01,1683123,"Apparel, Footwear & Accessories","2022-11-01 17:08:37.000000 UTC",18271386,62e329abff03c2000d83079d,6222,"Brand New",6024,51998,45974
2022-11-04,1683121,"Apparel, Footwear & Accessories","2022-11-04 17:02:12.000000 UTC",18309424,635b4a04feb3d7000dbeacfc,3850,"Brand New",3725,38999,35274
2022-11-04,1683122,"Apparel, Footwear & Accessories","2022-11-04 17:10:49.000000 UTC",18309514,5872eb71421aa90ceab0bb2f,4000,"Brand New",3974,38999,35025
2022-11-15,1695053,"Apparel, Footwear & Accessories","2022-11-15 17:21:26.000000 UTC",18403506,62e329abff03c2000d83079d,1222,"Brand New",1222,37499,36277
2022-11-15,1695054,"Apparel, Footwear & Accessories","2022-11-15 18:19:54.000000 UTC",18404727,591e47e3e3d4600d330ec1e8,2001,"Brand New",1913,34744,32831
2022-11-15,1695055,"Apparel, Footwear & Accessories","2022-11-15 18:10:31.000000 UTC",18404534,62e329abff03c2000d83079d,2057,"Brand New",1926,29875,27949
2022-11-18,1695051,"Apparel, Footwear & Accessories","2022-11-18 18:20:50.000000 UTC",18455933,54c35a91421aa90e9561b321,2200,"Brand New",2182,32352,30170
2022-11-18,1695052,"Apparel, Footwear & Accessories","2022-11-18 18:07:19.000000 UTC",18455729,62e329abff03c2000d83079d,1777,"Brand New",1625,37119,35494
2022-11-22,1702663,"Apparel, Footwear & Accessories","2022-11-22 18:05:41.000000 UTC",18486423,5f87a8dec8ce886daa622e6d,1336,"Brand New",1336,11996,10660
2022-11-22,1702664,"Apparel, Footwear & Accessories","2022-11-22 18:05:51.000000 UTC",18486430,5ee99029c8ce8806227dd424,1699,"Brand New",1625,13000,11375
2022-12-02,1707589,"Apparel, Footwear & Accessories","2022-11-28 21:27:47.000000 UTC",18536800,60dd1662c8ce886daa78f1b1,4000,NULL,NULL,NULL,NULL
2022-12-02,1707589,"Apparel, Footwear & Accessories","2022-11-28 22:26:22.000000 UTC",18538158,634dda38feb3d7000fd41790,4000,NULL,NULL,NULL,NULL
2022-12-02,1708023,"Apparel, Footwear & Accessories","2022-12-02 15:50:30.000000 UTC",18594653,6346cfecfeb3d7000dbb3495,2000,"Brand New",1247,45481,44234
2022-12-08,1714886,"Apparel, Footwear & Accessories","2022-12-08 17:40:57.000000 UTC",18656447,54c35b66421aa90e9061d305,450,"Brand New",426,16131,15705
2022-12-08,1715528,"Apparel, Footwear & Accessories","2022-12-08 18:02:29.000000 UTC",18657040,637d93dcfeb3d7000ec27aa8,600,"Brand New",526,19865,19339
2022-12-08,1715530,"Apparel, Footwear & Accessories","2022-12-08 17:39:14.000000 UTC",18656388,54c35b66421aa90e9061d305,600,"Brand New",600,28661,28061
2022-12-08,1715530,"Apparel, Footwear & Accessories","2022-12-08 17:48:41.000000 UTC",18656632,54c35450421aa90e915a9806,600,"Brand New",600,28661,28061
2022-12-13,1720146,"Apparel, Footwear & Accessories","2022-12-13 18:23:19.000000 UTC",18703866,62e329abff03c2000d83079d,2222,"Brand New",1825,18279,16454
2022-12-13,1720147,"Apparel, Footwear & Accessories","2022-12-13 18:26:20.000000 UTC",18703947,62e329abff03c2000d83079d,2888,"Brand New",2820,29423,26603
2022-12-13,1720149,"Apparel, Footwear & Accessories","2022-12-13 18:42:40.000000 UTC",18704377,60c94b4fc8ce886daa7749b4,5925,"Brand New",5900,44606,38706
2022-12-16,1720148,"Apparel, Footwear & Accessories","2022-12-16 17:07:44.000000 UTC",18742909,60130b4ac8ce886da943b405,1100,"Brand New",1025,19395,18370
2022-12-16,1720150,"Apparel, Footwear & Accessories","2022-12-13 21:11:07.000000 UTC",18709262,60130b4ac8ce886da943b405,1500,"Brand New",1325,36283,34958
2022-12-16,1721860,"Apparel, Footwear & Accessories","2022-12-16 17:58:10.000000 UTC",18743281,62e329abff03c2000d83079d,888,"Brand New",875,5998,5123
